frame,inference,cpu,ram
1,1.074460744857788,18.5,59.3
2,0.032289981842041016,41.9,59.3
3,0.03323507308959961,45.5,59.3
4,0.037786245346069336,59.5,59.3
5,0.03284025192260742,52.8,59.3
6,0.0354008674621582,48.3,59.2
7,0.03267526626586914,50.0,59.2
8,0.035780906677246094,48.6,59.2
9,0.0395660400390625,48.8,59.3
10,0.03791522979736328,45.9,59.3
11,0.03168201446533203,34.4,59.2
12,0.04619598388671875,54.3,59.2
13,0.029661178588867188,24.1,59.2
14,0.029443740844726562,27.6,59.2
15,0.027891874313354492,31.0,59.2
16,0.030163049697875977,27.3,59.2
17,0.02925419807434082,25.9,59.2
18,0.03240776062011719,28.1,59.2
19,0.02953815460205078,25.8,59.2
20,0.029034137725830078,31.0,59.2
21,0.028542280197143555,29.0,59.2
22,0.02999091148376465,30.0,59.2
23,0.035272836685180664,42.9,59.3
24,0.057987213134765625,57.9,59.2
25,0.03474617004394531,34.3,58.9
26,0.029161930084228516,26.7,58.9
27,0.028773069381713867,25.0,58.9
28,0.02817702293395996,26.9,58.9
29,0.028844833374023438,23.3,58.9
30,0.029189109802246094,29.4,58.9
31,0.029592037200927734,21.4,58.9
32,0.02835392951965332,25.9,58.9
33,0.030285120010375977,32.3,58.9
34,0.029400110244750977,22.6,58.9
35,0.028098106384277344,32.1,59.0
36,0.029857158660888672,24.1,59.0
37,0.028171062469482422,29.0,59.0
38,0.02853870391845703,21.4,59.0
39,0.028643131256103516,22.2,59.0
40,0.029093265533447266,33.3,59.0
41,0.02802729606628418,25.9,59.0
42,0.0288698673248291,21.4,59.0
43,0.02832627296447754,27.6,59.0
44,0.029313087463378906,20.7,59.0
45,0.06724119186401367,55.9,59.0
46,0.030649900436401367,30.3,59.0
47,0.029542922973632812,22.2,59.0
48,0.02970409393310547,30.3,59.0
49,0.02884197235107422,25.9,59.0
50,0.02920699119567871,20.7,59.0
51,0.02973175048828125,30.0,59.0
52,0.030012845993041992,26.7,59.0
53,0.029385089874267578,22.6,59.0
54,0.02960205078125,20.7,58.9
55,0.029386043548583984,28.6,58.9
56,0.02909708023071289,35.3,58.9
57,0.030379772186279297,18.5,58.9
58,0.030093908309936523,25.0,58.9
59,0.029857158660888672,25.8,58.9
60,0.02922201156616211,25.8,58.9
61,0.029752016067504883,23.1,58.9
62,0.03000020980834961,24.2,59.0
63,0.0306241512298584,25.0,59.0
64,0.030297040939331055,24.1,59.0
65,0.031033992767333984,17.9,59.0
66,0.032060861587524414,33.3,59.0
67,0.032145023345947266,33.3,59.0
68,0.029613018035888672,21.9,59.0
69,0.029263019561767578,29.0,59.0
70,0.029618263244628906,25.9,59.0
71,0.02935194969177246,20.7,59.0
72,0.029282093048095703,25.8,59.0
73,0.029539823532104492,30.0,59.0
74,0.028162002563476562,26.7,59.0
75,0.029708147048950195,21.4,59.0
76,0.028753042221069336,18.5,59.0
77,0.03028106689453125,27.3,59.0
78,0.029848814010620117,26.7,59.0
79,0.028790950775146484,24.1,59.0
80,0.030303001403808594,23.3,59.0
81,0.03034806251525879,25.0,59.0
82,0.0299680233001709,28.1,59.0
83,0.030560970306396484,20.0,59.0
84,0.03032708168029785,31.4,59.0
85,0.02958989143371582,25.9,59.0
86,0.029439926147460938,17.2,59.0
87,0.03003859519958496,25.0,59.0
88,0.02997112274169922,25.8,59.0
89,0.02983713150024414,27.6,59.0
90,0.030426025390625,28.1,59.0
91,0.02864813804626465,19.2,59.0
92,0.02933216094970703,25.8,59.0
93,0.029150009155273438,27.6,59.0
94,0.028476953506469727,31.3,59.0
95,0.02889394760131836,24.1,59.0
96,0.029545068740844727,25.8,58.9
97,0.028876066207885742,16.0,59.0
98,0.028664112091064453,20.0,59.0
99,0.029979944229125977,33.3,59.0
100,0.029521942138671875,33.3,59.0
101,0.02905106544494629,25.0,58.9
102,0.02875995635986328,17.2,58.9
103,0.02886509895324707,19.2,58.9
104,0.028549909591674805,31.0,58.9
105,0.02863001823425293,30.0,58.9
106,0.028729677200317383,28.6,58.9
107,0.029155969619750977,31.0,58.9
108,0.02865004539489746,18.5,58.9
109,0.029509782791137695,20.7,58.9
110,0.0300600528717041,26.7,58.9
111,0.0289459228515625,28.1,58.9
112,0.028843164443969727,19.2,59.0
113,0.03011298179626465,22.6,59.0
114,0.028919696807861328,22.2,59.0
115,0.029803991317749023,28.1,59.0
116,0.029559850692749023,23.3,59.0
117,0.029102087020874023,25.9,58.9
118,0.028961896896362305,28.1,59.0
119,0.029021739959716797,17.2,59.0
120,0.028390884399414062,30.8,59.0
121,0.028554916381835938,29.0,59.0
122,0.027340173721313477,34.5,59.0
123,0.02865004539489746,23.3,59.0
124,0.029001951217651367,15.4,59.0
125,0.028083086013793945,29.6,59.0
126,0.028699874877929688,27.3,59.0
127,0.029306888580322266,21.4,59.0
128,0.028217315673828125,37.5,59.0
129,0.029060840606689453,20.7,59.0
130,0.029449939727783203,24.1,59.0
131,0.030506134033203125,24.1,59.0
132,0.029685020446777344,20.0,59.0
133,0.028939008712768555,27.6,59.0
134,0.029571056365966797,25.8,59.0
135,0.029187917709350586,29.0,59.0
136,0.02900385856628418,18.5,59.0
137,0.029046058654785156,19.2,59.0
138,0.029585838317871094,29.0,59.0
139,0.029855012893676758,28.1,59.0
140,0.029526948928833008,20.0,59.0
141,0.029890060424804688,25.0,59.0
142,0.029807090759277344,25.8,59.0
143,0.04581403732299805,48.8,59.0
144,0.0304107666015625,35.3,59.0
145,0.03003096580505371,21.9,58.9
146,0.030525922775268555,21.9,58.9
147,0.0293121337890625,29.6,58.9
148,0.030299901962280273,25.8,58.9
149,0.029762983322143555,20.7,58.9
150,0.02930593490600586,26.7,58.9
151,0.03067326545715332,25.8,58.9
152,0.030363798141479492,22.6,58.9
153,0.029047012329101562,28.1,58.9
154,0.029707908630371094,23.3,58.9
155,0.029710769653320312,20.7,58.9
156,0.02945995330810547,28.6,58.9
157,0.030376911163330078,26.5,58.9
158,0.030293941497802734,20.0,58.9
159,0.030768156051635742,31.3,59.0
160,0.029896020889282227,25.0,59.0
161,0.029860973358154297,23.3,59.0
162,0.029748916625976562,28.1,59.0
163,0.029980182647705078,22.6,58.9
164,0.029867172241210938,25.8,58.9
165,0.030258893966674805,21.9,58.9
166,0.030051708221435547,19.2,58.9
167,0.0297086238861084,26.7,59.0
168,0.02964925765991211,30.3,59.0
169,0.028658151626586914,18.5,59.0
170,0.029563188552856445,23.3,58.9
171,0.029664993286132812,22.6,58.9
172,0.029172897338867188,35.5,58.9
173,0.029349088668823242,21.4,58.9
174,0.02956390380859375,26.5,58.9
175,0.02956986427307129,19.2,58.8
176,0.029545068740844727,20.0,58.8
177,0.03035593032836914,32.4,58.8
178,0.02910470962524414,21.4,58.8
179,0.028243303298950195,25.0,58.8
180,0.029613971710205078,20.7,58.8
181,0.029101133346557617,20.7,58.8
182,0.030193805694580078,29.4,58.8
183,0.02969813346862793,17.9,58.8
184,0.02915501594543457,32.3,58.8
185,0.029266834259033203,16.0,58.8
186,0.029150009155273438,20.7,58.8
187,0.030120134353637695,25.8,58.8
188,0.029855012893676758,32.4,58.8
189,0.02953815460205078,27.3,58.8
190,0.029445886611938477,23.1,58.8
191,0.029490232467651367,17.2,58.8
192,0.028519868850708008,25.8,58.8
193,0.02928900718688965,21.4,58.8
194,0.029384851455688477,32.3,58.8
195,0.028774261474609375,31.0,58.8
196,0.029262065887451172,25.0,58.8
197,0.029304981231689453,11.5,58.8
198,0.029226064682006836,23.3,58.8
199,0.02853679656982422,27.6,58.8
200,0.02896904945373535,24.1,58.8
201,0.028912067413330078,28.1,58.8
202,0.02897810935974121,25.0,58.8
203,0.029593944549560547,17.9,58.8
204,0.030172109603881836,29.4,58.8
205,0.02964305877685547,25.0,58.8
206,0.029155969619750977,21.9,58.8
207,0.030102968215942383,25.0,58.8
208,0.029547929763793945,22.6,58.8
209,0.030186891555786133,32.3,58.8
210,0.03056812286376953,17.9,58.8
211,0.029996156692504883,27.3,58.8
212,0.030139923095703125,26.7,58.8
213,0.029505014419555664,24.1,58.8
214,0.030118942260742188,22.6,58.8
215,0.029691696166992188,26.7,58.8
216,0.029829025268554688,29.0,58.8
217,0.029660940170288086,21.2,58.8
218,0.030032873153686523,26.7,58.8
219,0.02920389175415039,25.0,58.8
220,0.029255151748657227,18.5,58.8
221,0.029565095901489258,24.1,58.8
222,0.0297698974609375,32.4,58.8
223,0.029873132705688477,18.5,58.8
224,0.02987194061279297,25.0,58.8
225,0.029672861099243164,25.8,58.8
226,0.029473066329956055,27.3,58.8
227,0.030382871627807617,25.0,58.8
228,0.030392169952392578,29.0,58.8
229,0.03202509880065918,25.8,58.9
230,0.03067803382873535,34.3,58.8
231,0.032514095306396484,34.4,58.8
232,0.030469894409179688,22.6,58.8
233,0.03082895278930664,23.1,58.8
234,0.029500961303710938,29.4,58.8
235,0.03032994270324707,30.3,58.8
236,0.030723094940185547,20.7,58.8
237,0.03028392791748047,26.7,58.8
238,0.030044078826904297,26.7,58.8
239,0.030151844024658203,25.8,58.8
240,0.030308961868286133,23.3,58.8
241,0.029818058013916016,23.3,58.8
242,0.030364990234375,24.1,58.8
243,0.029719114303588867,32.4,58.8
244,0.03076004981994629,35.3,58.8
245,0.030327796936035156,23.3,58.8
246,0.029881954193115234,36.7,58.8
247,0.03111577033996582,32.1,59.0
248,0.030103683471679688,29.4,59.0
249,0.02985095977783203,21.4,59.0
250,0.029904842376708984,23.3,59.0
251,0.028614282608032227,25.0,59.0
252,0.02961897850036621,20.7,59.0
253,0.029263019561767578,32.4,59.0
254,0.029167890548706055,21.4,59.0
255,0.028798818588256836,28.1,59.0
256,0.029345989227294922,17.2,59.0
257,0.029612064361572266,26.9,59.0
258,0.02929091453552246,20.7,59.0
259,0.02985405921936035,28.1,59.0
260,0.030106067657470703,30.3,59.0
261,0.030233144760131836,30.0,59.0
262,0.030167102813720703,17.9,59.0
263,0.02970099449157715,32.3,59.0
264,0.029851913452148438,20.0,59.0
265,0.029861927032470703,37.5,59.0
266,0.029587984085083008,19.4,59.0
267,0.0296478271484375,23.3,59.0
268,0.029185771942138672,25.0,59.0
269,0.02924489974975586,23.3,59.0
270,0.029556989669799805,18.5,59.0
271,0.029520034790039062,29.4,59.0
272,0.0450749397277832,54.3,59.0
273,0.029931068420410156,25.0,59.0
274,0.029970884323120117,23.1,59.0
275,0.02959585189819336,29.0,59.0
276,0.02963423728942871,25.8,59.0
277,0.029863357543945312,23.3,59.0
278,0.029957056045532227,27.6,59.0
279,0.030476808547973633,25.8,59.0
280,0.029577970504760742,20.7,59.0
281,0.02940988540649414,23.3,59.0
282,0.029649734497070312,29.0,59.0
283,0.029660940170288086,25.0,59.0
284,0.030097246170043945,25.0,59.0
285,0.030138254165649414,28.1,59.0
286,0.029607057571411133,25.8,59.0
287,0.03421902656555176,39.4,58.9
288,0.03123188018798828,24.2,58.9
289,0.0322721004486084,25.8,58.9
290,0.03146195411682129,21.9,58.9
291,0.029539823532104492,31.3,58.9
292,0.02938222885131836,27.6,58.9
293,0.029515981674194336,24.1,58.9
294,0.030462026596069336,24.2,58.9
295,0.030168771743774414,24.1,58.9
296,0.031176090240478516,30.3,59.0
297,0.030781269073486328,21.2,59.0
298,0.030138015747070312,32.1,59.0
299,0.029636144638061523,23.3,59.0
300,0.02979898452758789,17.9,58.9
301,0.028786182403564453,25.0,58.9
302,0.030137062072753906,18.5,58.9
